06-09-2024 12:15:11.368 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
06-09-2024 12:15:11.392 [main] INFO  c.n.shopapp.ShopappApplication.logStarting - Starting ShopappApplication using Java 17.0.5 with PID 3852 (/Users/nguoideptrangian/Documents/shop_app/target/classes started by nguoideptrangian in /Users/nguoideptrangian/Documents/shop_app)
06-09-2024 12:15:11.393 [main] INFO  c.n.shopapp.ShopappApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-09-2024 12:15:11.799 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
06-09-2024 12:15:11.842 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 38 ms. Found 7 JPA repository interfaces.
06-09-2024 12:15:12.190 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8081 (http)
06-09-2024 12:15:12.198 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8081"]
06-09-2024 12:15:12.200 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
06-09-2024 12:15:12.200 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.25]
06-09-2024 12:15:12.239 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
06-09-2024 12:15:12.241 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 811 ms
06-09-2024 12:15:12.332 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
06-09-2024 12:15:12.359 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
06-09-2024 12:15:12.375 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
06-09-2024 12:15:12.507 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
06-09-2024 12:15:12.525 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
06-09-2024 12:15:12.604 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@236fd411
06-09-2024 12:15:12.605 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
06-09-2024 12:15:12.628 [main] WARN  org.hibernate.orm.deprecation.constructDialect - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
06-09-2024 12:15:13.142 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
06-09-2024 12:15:13.143 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
06-09-2024 12:15:13.264 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> - Hibernate is in classpath; If applicable, HQL parser will be used.
06-09-2024 12:15:13.565 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
06-09-2024 12:15:13.839 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer.configure - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
06-09-2024 12:15:13.840 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer.configure - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
06-09-2024 12:15:14.155 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8081"]
06-09-2024 12:15:14.165 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8081 (http) with context path '/'
06-09-2024 12:15:14.172 [main] INFO  c.n.shopapp.ShopappApplication.logStarted - Started ShopappApplication in 2.987 seconds (process running for 3.329)
06-09-2024 12:16:07.098 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
06-09-2024 12:16:07.099 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
06-09-2024 12:16:07.099 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 0 ms
06-09-2024 12:16:07.137 [http-nio-8081-exec-1] INFO  c.n.s.controller.ProductController.getAllProducts - keyword = aa
06-09-2024 12:18:15.608 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
06-09-2024 12:18:15.611 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown initiated...
06-09-2024 12:18:15.614 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource.close - HikariPool-1 - Shutdown completed.
06-09-2024 12:18:16.835 [background-preinit] INFO  o.h.validator.internal.util.Version.<clinit> - HV000001: Hibernate Validator 8.0.1.Final
06-09-2024 12:18:16.859 [main] INFO  c.n.shopapp.ShopappApplication.logStarting - Starting ShopappApplication using Java 17.0.5 with PID 3878 (/Users/nguoideptrangian/Documents/shop_app/target/classes started by nguoideptrangian in /Users/nguoideptrangian/Documents/shop_app)
06-09-2024 12:18:16.860 [main] INFO  c.n.shopapp.ShopappApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
06-09-2024 12:18:17.292 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
06-09-2024 12:18:17.341 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 45 ms. Found 7 JPA repository interfaces.
06-09-2024 12:18:17.712 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8081 (http)
06-09-2024 12:18:17.719 [main] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8081"]
06-09-2024 12:18:17.720 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
06-09-2024 12:18:17.720 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.25]
06-09-2024 12:18:17.755 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
06-09-2024 12:18:17.756 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 864 ms
06-09-2024 12:18:17.849 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
06-09-2024 12:18:17.874 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.5.2.Final
06-09-2024 12:18:17.891 [main] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
06-09-2024 12:18:18.048 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
06-09-2024 12:18:18.063 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
06-09-2024 12:18:18.142 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7fc1fd31
06-09-2024 12:18:18.143 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
06-09-2024 12:18:18.168 [main] WARN  org.hibernate.orm.deprecation.constructDialect - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
